MARKER_FILE	MUTATIONS_FILE	INTERSECTION	UNION	JACCARD	N_INTERSECTIONS
GSM1341955_NI.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19s_SORTED.bed	1078	12587973	8.56373e-05	478
GSM1341955_NI.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19s_SORTED.bed	2176	12651532	0.000171995	1018
GSM1341955_NI.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19sRANDOMISED_SORTED.bed	401	12580238	3.18754e-05	203
GSM1341955_NI.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19sRANDOMISED_SORTED.bed	944	12646957	7.46425e-05	475
GSM1341956_NI_3.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19s_SORTED.bed	1293	9268654	0.000139502	511
GSM1341956_NI_3.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19s_SORTED.bed	2149	9332455	0.000230272	1039
GSM1341956_NI_3.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19sRANDOMISED_SORTED.bed	274	9261261	2.95856e-05	138
GSM1341956_NI_3.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19sRANDOMISED_SORTED.bed	629	9328168	6.74302e-05	316
GSM1341957_6h.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19s_SORTED.bed	1034	12128939	8.52507e-05	509
GSM1341957_6h.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19s_SORTED.bed	2490	12192140	0.00020423	1168
GSM1341957_6h.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19sRANDOMISED_SORTED.bed	358	12121203	2.9535e-05	181
GSM1341957_6h.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19sRANDOMISED_SORTED.bed	867	12187958	7.11358e-05	436
GSM1341958_6h_3.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19s_SORTED.bed	897	8488479	0.000105673	428
GSM1341958_6h_3.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19s_SORTED.bed	1772	8552261	0.000207197	857
GSM1341958_6h_3.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19sRANDOMISED_SORTED.bed	209	8480755	2.4644e-05	106
GSM1341958_6h_3.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19sRANDOMISED_SORTED.bed	530	8547696	6.2005e-05	267
GSM1341959_18h.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19s_SORTED.bed	1531	13610863	0.000112484	678
GSM1341959_18h.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19s_SORTED.bed	3056	13673995	0.00022349	1449
GSM1341959_18h.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19sRANDOMISED_SORTED.bed	404	13603578	2.96981e-05	204
GSM1341959_18h.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19sRANDOMISED_SORTED.bed	1020	13670224	7.46147e-05	512
GSM1341960_18h_3.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19s_SORTED.bed	1504	18227002	8.25149e-05	730
GSM1341960_18h_3.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19s_SORTED.bed	3186	18289977	0.000174194	1529
GSM1341960_18h_3.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19sRANDOMISED_SORTED.bed	531	18219563	2.91445e-05	268
GSM1341960_18h_3.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19sRANDOMISED_SORTED.bed	1318	18286038	7.20769e-05	662
GSM1341961_IR.2500-5000_SORTED.bed.peak.txt	er_negative_tcga_brca_hg19s_SORTED.bed	297	3906075	7.60354e-05	146
GSM1341961_IR.2500-5000_SORTED.bed.peak.txt	er_positive_tcga_brca_hg19s_SORTED.bed	624	3970405	0.000157163	297
