MARKER_FILE	MUTATIONS_FILE	INTERSECTION	UNION	JACCARD	N_INTERSECTIONS
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.BRCA.muse.6fcfff20-4993-4789-b27b-69d165130466.DR-6.0.somatic_SORTED.bed	3296	13037376	0.000252812	1640
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.BRCA.mutect.96983226-d92a-449d-8890-e1b210cee0fe.DR-6.0.somatic_SORTED.bed	4800	13127055	0.000365657	2154
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.BRCA.somaticsniper.8855730e-21ad-4711-9be2-b58bc337834e.DR-6.0.somatic_SORTED.bed	2405	12985250	0.00018521	1196
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.BRCA.varscan.053e3955-5fbd-46d3-8a21-c3cde48ef9b4.DR-6.0.somatic_SORTED.bed	3169	13027972	0.000243246	1576
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.COAD.muse.e3f4a5e3-1f5f-4992-8b7e-ba3d6d1502b8.DR-7.0.somatic_SORTED.bed	7781	13249048	0.000587287	3837
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.COAD.mutect.853e5584-b8c3-4836-9bda-6e7e84a64d97.DR-7.0.somatic_SORTED.bed	9068	13338088	0.000679858	4514
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.COAD.somaticsniper.f359f8a4-9d0f-471b-a870-0b66f27f7c73.DR-7.0.somatic_SORTED.bed	6169	13171313	0.000468366	3055
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.COAD.varscan.1b3c1c3e-a4e0-4505-bccb-1a5de81f897d.DR-7.0.somatic_SORTED.bed	7686	13247647	0.000580179	3800
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.READ.muse.06f4299d-bd5f-4291-b264-3a83e79b41c8.DR-7.0.somatic_SORTED.bed	1788	12968827	0.000137869	888
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.READ.mutect.c999f6ca-0b24-4131-bc53-1665948f8e3f.DR-7.0.somatic_SORTED.bed	2074	12985109	0.000159721	1032
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.READ.somaticsniper.65fef5d9-73a5-4650-913f-1bf05313dba3.DR-7.0.somatic_SORTED.bed	1514	12951702	0.000116896	753
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.READ.varscan.6c3ab3bc-a3ff-4cb9-bfec-310c19c3cca4.DR-7.0.somatic_SORTED.bed	1800	12968842	0.000138794	894
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.BRCA.muse.6fcfff20-4993-4789-b27b-69d165130466.DR-6.0.somaticRANDOMISED_SORTED.bed	1457	13041816	0.000111718	731
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.BRCA.mutect.96983226-d92a-449d-8890-e1b210cee0fe.DR-6.0.somaticRANDOMISED_SORTED.bed	2066	13111021	0.000157577	1037
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.BRCA.somaticsniper.8855730e-21ad-4711-9be2-b58bc337834e.DR-6.0.somaticRANDOMISED_SORTED.bed	1032	12988701	7.94537e-05	518
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.BRCA.varscan.053e3955-5fbd-46d3-8a21-c3cde48ef9b4.DR-6.0.somaticRANDOMISED_SORTED.bed	1391	13032846	0.00010673	698
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.COAD.muse.e3f4a5e3-1f5f-4992-8b7e-ba3d6d1502b8.DR-7.0.somaticRANDOMISED_SORTED.bed	3302	13265693	0.000248913	1655
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.COAD.mutect.853e5584-b8c3-4836-9bda-6e7e84a64d97.DR-7.0.somaticRANDOMISED_SORTED.bed	4109	13373932	0.000307239	2060
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.COAD.somaticsniper.f359f8a4-9d0f-471b-a870-0b66f27f7c73.DR-7.0.somaticRANDOMISED_SORTED.bed	2658	13184242	0.000201604	1333
GSM1341955_NI.2500-5000_liftedto38_SORTED.bed.peak.txt	TCGA.COAD.varscan.1b3c1c3e-a4e0-4505-bccb-1a5de81f897d.DR-7.0.somaticRANDOMISED_SORTED.bed	3302	13265243	0.000248921	1655
